"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","Subtype/Genotype (GenBank)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"12","Ivory Coast 1999","Yellow fever virus","West Africa Genotype II","-N/A-","AY603338","10862","-N/A-","-N/A-","Unknown","-N/A-","Ivory Coast","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"13","vaccine strain 17D-213","Yellow fever virus","West Africa Genotype II","-N/A-","U17067","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"14","Uganda48a","Yellow fever virus","East Africa Genotype","-N/A-","AY968065","10823","-N/A-","-N/A-","Human","Homo sapiens","Uganda","genomic RNA",10823,1.0823,">90%","Africa","Eastern Africa"
"15","French neurotropic virus","Yellow fever virus","West Africa Genotype II","-N/A-","U21055","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"16","17D-204-South Africa vaccine","Yellow fever virus","West Africa Genotype II","-N/A-","AF052445","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"17","Asibi","Yellow fever virus","West Africa Genotype II","-N/A-","AY640589","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"18","Angola71","Yellow fever virus","Angola Genotype","-N/A-","AY968064","10823","-N/A-","-N/A-","Human","Homo sapiens","Angola","genomic RNA",10823,1.0823,">90%","Africa","Southern Africa"
"19","Trinidad 79A","Yellow fever virus","West Africa Genotype II","-N/A-","AF094612","10760","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10760,1.076,">90%",NA,NA
"20","Couma","Yellow fever virus","East/Central African Genotype","-N/A-","DQ235229","10823","-N/A-","-N/A-","Unknown","-N/A-","Ethiopia","genomic RNA",10823,1.0823,">90%","Africa","Eastern Africa"
"21","17D-204-USA vaccine","Yellow fever virus","West Africa Genotype II","-N/A-","AF052439","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"22","17D-204-South Africa vaccine","Yellow fever virus","West Africa Genotype II","-N/A-","AF052446","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"23","case #2","Yellow fever virus","West Africa Genotype II","-N/A-","GQ379163","10862","-N/A-","10/2007","Human","Homo sapiens","Peru","genomic RNA",10862,1.0862,">90%","South America","Rest South America"
"24","UNKNOWN-FU267585","Yellow fever virus","West Africa Genotype II","-N/A-","FU267585","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"25","UNKNOWN-FV537411","Yellow fever virus","East/Central African Genotype","-N/A-","FV537411","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"26","UNKNOWN-FV537409","Yellow fever virus","West Africa Genotype II","-N/A-","FV537409","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"27","case #1","Yellow fever virus","West Africa Genotype II","-N/A-","GQ379162","10862","-N/A-","10/2007","Human","Homo sapiens","Peru","genomic RNA",10862,1.0862,">90%","South America","Rest South America"
"28","UNKNOWN-FV537410","Yellow fever virus","West Africa Genotype II","-N/A-","FV537410","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"29","UNKNOWN-FV537412","Yellow fever virus","East/Central African Genotype","-N/A-","FV537412","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"30","17D-Tiantan","Yellow fever virus 17D/Tiantan","West Africa Genotype II","-N/A-","FJ654700","10862","-N/A-","-N/A-","Unknown","-N/A-","China","genomic RNA",10862,1.0862,">90%","Asia","China+"
"31","TVP11767","Yellow fever virus",NA,"-N/A-","HM582851","10236","-N/A-","2009","Monkey","Alouatta seniculus","Trinidad and Tobago","genomic RNA",10236,1.0236,">90%","South America","Rest Central America"
"32","17D vaccine","Yellow fever virus","West Africa Genotype II","-N/A-","X03700","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"33","UNKNOWN-JA630638","Yellow fever virus","West Africa Genotype II","-N/A-","JA630638","11564","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",11564,1.1564,">90%",NA,NA
"34","UNKNOWN-JB319331","Yellow fever virus","West Africa Genotype II","-N/A-","JB319331","10785","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10785,1.0785,">90%",NA,NA
"35","ArD181250","Yellow fever virus","West Africa Genotype II","-N/A-","JX898878","10862","-N/A-","2005","Mosquito","Aedes furcifer","Senegal","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"36","CNYF01/2016","Yellow fever virus","Angola Genotype","-N/A-","KU921608","10823","-N/A-","03/10/2016","Human","Homo sapiens","China","genomic RNA",10823,1.0823,">90%","Asia","China+"
"37","Uganda 2010","Yellow fever virus","East/Central African Genotype","-N/A-","JN620362","10820","-N/A-","10/2010","Human","Homo sapiens","Uganda","genomic RNA",10820,1.082,">90%","Africa","Eastern Africa"
"38","17D Flavimun WSL","Yellow fever virus","West Africa Genotype II","-N/A-","JN628280","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"39","17D Flavimun TVX","Yellow fever virus","West Africa Genotype II","-N/A-","JN628281","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"40","17D RKI","Yellow fever virus","West Africa Genotype II","-N/A-","JN628279","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"41","17D YF-VAX Vero adapted","Yellow fever virus","West Africa Genotype II","-N/A-","JN811143","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"42","BeH423602","Yellow fever virus",NA,"-N/A-","JF912183","10852","-N/A-","1984","Human","Homo sapiens","Brazil","genomic RNA",10852,1.0852,">90%","South America","Brazil"
"43","YF/Vaccine/USA/Sanofi-Pasteur-17D- 204/UF795AA/YFVax","Yellow fever virus","West Africa Genotype II","-N/A-","JX503529","10811","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10811,1.0811,">90%",NA,NA
"44","BeAr378600","Yellow fever virus",NA,"-N/A-","JF912179","10889","-N/A-","1980","Mosquito","Haemagogus sp.","Brazil","genomic RNA",10889,1.0889,">90%","South America","Brazil"
"45","UNKNOWN-JA784072","Yellow fever virus","West Africa Genotype II","-N/A-","JA784072","6300","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",6300,0.63,"50-90%",NA,NA
"46","BeAr513008","Yellow fever virus",NA,"-N/A-","JF912185","11008","-N/A-","1992","Mosquito","Sabethes sp.","Brazil","genomic RNA",11008,1.1008,">90%","South America","Brazil"
"47","BeH655417","Yellow fever virus",NA,"-N/A-","JF912190","10859","-N/A-","2002","Human","Homo sapiens","Brazil","genomic RNA",10859,1.0859,">90%","South America","Brazil"
"48","UNKNOWN-JA784081","Yellow fever virus","West Africa Genotype II","-N/A-","JA784081","10788","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10788,1.0788,">90%",NA,NA
"49","BeH422973","Yellow fever virus",NA,"-N/A-","JF912182","10860","-N/A-","1984","Human","Homo sapiens","Brazil","genomic RNA",10860,1.086,">90%","South America","Brazil"
"50","UNKNOWN-JA784086","Yellow fever virus","West Africa Genotype II","-N/A-","JA784086","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"51","BeH622205","Yellow fever virus",NA,"-N/A-","JF912187","11008","-N/A-","2000","Human","Homo sapiens","Brazil","genomic RNA",11008,1.1008,">90%","South America","Brazil"
"52","BeAR646536","Yellow fever virus",NA,"-N/A-","JF912189","11008","-N/A-","2001","Mosquito","Haemagogus leucocelaenus","Brazil","genomic RNA",11008,1.1008,">90%","South America","Brazil"
"53","BeH394880","Yellow fever virus",NA,"-N/A-","JF912180","11008","-N/A-","1981","Human","Homo sapiens","Brazil","genomic RNA",11008,1.1008,">90%","South America","Brazil"
"54","BeH622493","Yellow fever virus",NA,"-N/A-","JF912188","10817","-N/A-","2000","Human","Homo sapiens","Brazil","genomic RNA",10817,1.0817,">90%","South America","Brazil"
"55","UNKNOWN-JA784080","Yellow fever virus","West Africa Genotype II","-N/A-","JA784080","10776","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10776,1.0776,">90%",NA,NA
"56","UNKNOWN-JA784082","Yellow fever virus","West Africa Genotype II","-N/A-","JA784082","10811","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10811,1.0811,">90%",NA,NA
"57","BeH526722","Yellow fever virus",NA,"-N/A-","JF912186","11004","-N/A-","1994","Human","Homo sapiens","Brazil","genomic RNA",11004,1.1004,">90%","South America","Brazil"
"58","BeH413820","Yellow fever virus",NA,"-N/A-","JF912181","10795","-N/A-","1983","Human","Homo sapiens","Brazil","genomic RNA",10795,1.0795,">90%","South America","Brazil"
"59","UNKNOWN-JA784083","Yellow fever virus","West Africa Genotype II","-N/A-","JA784083","10785","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10785,1.0785,">90%",NA,NA
"60","UNKNOWN-JA784073","Yellow fever virus","West Africa Genotype II","-N/A-","JA784073","6300","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",6300,0.63,"50-90%",NA,NA
"61","BeH463676","Yellow fever virus",NA,"-N/A-","JF912184","11004","-N/A-","1987","Human","Homo sapiens","Brazil","genomic RNA",11004,1.1004,">90%","South America","Brazil"
"62","17D","Yellow fever virus","West Africa Genotype II","-N/A-","JX949181","10815","-N/A-","07/03/2012","Unknown","-N/A-","United States of America","genomic RNA",10815,1.0815,">90%","North America","USA"
"63","ArD114896","Yellow fever virus","West Africa Genotype II","-N/A-","JX898871","10859","-N/A-","1995","Mosquito","Aedes aegypti","Senegal","genomic RNA",10859,1.0859,">90%","Africa","Western Africa"
"64","ArD181564","Yellow fever virus","West Africa Genotype II","-N/A-","JX898880","10862","-N/A-","2005","Mosquito","Aedes luteocephalus","Senegal","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"65","ArD149214","Yellow fever virus","West Africa Genotype II","-N/A-","JX898873","10862","-N/A-","2000","Mosquito","Aedes furcifer","Senegal","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"66","ArD114972","Yellow fever virus","West Africa Genotype II","-N/A-","JX898872","10859","-N/A-","1995","Mosquito","Aedes aegypti","Senegal","genomic RNA",10859,1.0859,">90%","Africa","Western Africa"
"67","ArD156468","Yellow fever virus","West Africa Genotype II","-N/A-","JX898876","10859","-N/A-","2001","Mosquito","Aedes furcifer","Senegal","genomic RNA",10859,1.0859,">90%","Africa","Western Africa"
"68","ArD149194","Yellow fever virus","West Africa Genotype II","-N/A-","JX898874","10861","-N/A-","2000","Mosquito","Aedes taylori","Senegal","genomic RNA",10861,1.0861,">90%","Africa","Western Africa"
"69","HD117294","Yellow fever virus","West Africa Genotype II","-N/A-","JX898868","10862","-N/A-","1995","Human","Homo sapiens","Senegal","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"70","ArD149815","Yellow fever virus","West Africa Genotype II","-N/A-","JX898875","10857","-N/A-","2000","Mosquito","Aedes furcifer","Senegal","genomic RNA",10857,1.0857,">90%","Africa","Western Africa"
"71","ArD181439","Yellow fever virus","West Africa Genotype II","-N/A-","JX898881","10862","-N/A-","2005","Mosquito","Aedes luteocephalus","Senegal","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"72","ArD181676","Yellow fever virus","West Africa Genotype II","-N/A-","JX898879","10862","-N/A-","2005","Mosquito","Aedes taylori","Senegal","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"73","DakArAmt7","Yellow fever virus","West Africa Genotype I","-N/A-","JX898869","10848","-N/A-","1973","Mosquito","Aedes africanus","Ivory Coast","genomic RNA",10848,1.0848,">90%","Africa","Western Africa"
"74","ArD121040","Yellow fever virus","West Africa Genotype II","-N/A-","JX898870","10862","-N/A-","1996","Mosquito","Aedes furcifer","Senegal","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"75","ArD181464","Yellow fever virus","West Africa Genotype II","-N/A-","JX898877","10862","-N/A-","2005","Mosquito","Aedes furcifer","Senegal","genomic RNA",10862,1.0862,">90%","Africa","Western Africa"
"76","UNKNOWN-JB319334","Yellow fever virus","West Africa Genotype II","-N/A-","JB319334","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"77","17D YF-VAX Vero adapted","Yellow fever virus","West Africa Genotype II","-N/A-","JN811142","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"78","UNKNOWN-JB319330","Yellow fever virus","West Africa Genotype II","-N/A-","JB319330","10811","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10811,1.0811,">90%",NA,NA
"79","UNKNOWN-JB319329","Yellow fever virus","West Africa Genotype II","-N/A-","JB319329","10788","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10788,1.0788,">90%",NA,NA
"80","UNKNOWN-JB319328","Yellow fever virus","West Africa Genotype II","-N/A-","JB319328","10776","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10776,1.0776,">90%",NA,NA
"81","17D YF-VAX Vero adapted","Yellow fever virus","West Africa Genotype II","-N/A-","JN811140","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"82","UNKNOWN-JB319321","Yellow fever virus","West Africa Genotype II","-N/A-","JB319321","6300","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",6300,0.63,"50-90%",NA,NA
"83","17D YF-VAX Vero adapted","Yellow fever virus","West Africa Genotype II","-N/A-","JN811141","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10862,1.0862,">90%",NA,NA
"84","UNKNOWN-JB319320","Yellow fever virus","West Africa Genotype II","-N/A-","JB319320","6300","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",6300,0.63,"50-90%",NA,NA
"85","Asibi","Yellow fever virus","West Africa Genotype II","-N/A-","KF769016","10833","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10833,1.0833,">90%",NA,NA
"86","17D-204","Yellow fever virus","West Africa Genotype II","-N/A-","KF769015","10838","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10838,1.0838,">90%",NA,NA
"87","88/1999","Yellow fever virus",NA,"-N/A-","KF907504","10657","-N/A-","-N/A-","Human","Homo sapiens","Bolivia","genomic RNA",10657,1.0657,">90%","South America","Rest South America"
"88","9A","Yellow fever virus",NA,"-N/A-","KM388815","10236","-N/A-","2007","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10236,1.0236,">90%","South America","Rest South America"
"89","2A","Yellow fever virus",NA,"-N/A-","KM388817","10236","-N/A-","2004","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10236,1.0236,">90%","South America","Rest South America"
"90","10A","Yellow fever virus",NA,"-N/A-","KM388816","10236","-N/A-","2010","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10236,1.0236,">90%","South America","Rest South America"
"91","8A","Yellow fever virus",NA,"-N/A-","KM388818","10236","-N/A-","2006","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10236,1.0236,">90%","South America","Rest South America"
"92","6A","Yellow fever virus",NA,"-N/A-","KM388814","10236","-N/A-","2005","Human","Homo sapiens","Venezuela","genomic RNA",10236,1.0236,">90%","South America","Rest South America"
"93","UNKNOWN-LP010436","Yellow fever virus","West Africa Genotype II","-N/A-","LP010436","11564","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",11564,1.1564,">90%",NA,NA
"94","CIC2","Yellow fever virus","Angola Genotype","-N/A-","KX010995","10822","-N/A-","03/17/2016","Human","Homo sapiens","China","genomic RNA",10822,1.0822,">90%","Asia","China+"
"95","CIC1","Yellow fever virus","Angola Genotype","-N/A-","KX010994","10823","-N/A-","03/11/2016","Human","Homo sapiens","China","genomic RNA",10823,1.0823,">90%","Asia","China+"
"96","CIC3","Yellow fever virus","Angola Genotype","-N/A-","KX010996","10823","-N/A-","03/18/2016","Human","Homo sapiens","China","genomic RNA",10823,1.0823,">90%","Asia","China+"
"97","CIC4","Yellow fever virus","Angola Genotype","-N/A-","KX027336","10823","-N/A-","03/19/2016","Human","Homo sapiens","China","genomic RNA",10823,1.0823,">90%","Asia","China+"
"98","CNYF01R/2016","Yellow fever virus","Angola Genotype","-N/A-","KX268355","10825","-N/A-","03/11/2016","Human","Homo sapiens","China","genomic RNA",10825,1.0825,">90%","Asia","China+"
"99","UNKNOWN-LQ564352","Yellow fever virus","West Africa Genotype II","-N/A-","LQ564352","8681","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",8681,0.8681,"50-90%",NA,NA
"100","UNKNOWN-LQ460610","Yellow fever virus","West Africa Genotype II","-N/A-","LQ460610","8681","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",8681,0.8681,"50-90%",NA,NA
"101","Shanghai01","Yellow fever virus","Angola Genotype","-N/A-","KU949599","10759","-N/A-","03/09/2016","Unknown","-N/A-",NA,"genomic RNA",10759,1.0759,">90%",NA,NA
"102","Jose Cachatra","Yellow fever virus","West Africa Genotype II","-N/A-","KU978765","10851","-N/A-","08/23/1965","Human","Homo sapiens","Guinea-Bissau","genomic RNA",10851,1.0851,">90%",NA,NA
"103","M 185 D 160","Yellow fever virus","West Africa Genotype II","-N/A-","KU978764","10824","-N/A-","06/06/1941","Human","Homo sapiens","Sudan","genomic RNA",10824,1.0824,">90%","Africa","Eastern Africa"
"104","Ogbomosho","Yellow fever virus","West Africa Genotype I","-N/A-","KU978763","10804","-N/A-","1946","Human","Homo sapiens","Nigeria","genomic RNA",10804,1.0804,">90%","Africa","Western Africa"
"105","FJYF03/2016","Yellow fever virus","Angola Genotype","-N/A-","KY587416","10763","-N/A-","03/20/2016","Human","Homo sapiens","China","genomic RNA",10763,1.0763,">90%","Asia","China+"
"106","Cahama-C17","Yellow fever virus","Angola Genotype","-N/A-","KX982182","10623","-N/A-","03/16/2016","Human","Homo sapiens","Angola","genomic RNA",10623,1.0623,">90%","Africa","Southern Africa"
"107","BeAn754036 (PR4408)","Yellow fever virus",NA,"-N/A-","KY861728","11008","-N/A-","02/09/2008","Black Howler","Alouatta sp. (howler monkey)","Brazil","genomic RNA",11008,1.1008,">90%","South America","Brazil"
"108","17DD","Yellow fever virus","West Africa Genotype II","-N/A-","MN737509","10862","-N/A-","11/21/2019","Unknown","-N/A-","Brazil","genomic RNA",10862,1.0862,">90%","South America","Brazil"
"109","YFV_EHI","Yellow fever virus","West Africa Genotype II","-N/A-","MF289572","10839","-N/A-","06/2017","Unknown","-N/A-","Singapore","genomic RNA",10839,1.0839,">90%","Asia","Southeastern Asia"
"110","YFV-17D","Yellow fever virus","West Africa Genotype II","-N/A-","MG051217","10730","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10730,1.073,">90%",NA,NA
"111","YFV-FNV","Yellow fever virus","West Africa Genotype II","-N/A-","MG051218","10727","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10727,1.0727,">90%",NA,NA
"112","Sudan_M_90-5_TVP_3230","Yellow fever virus","East/Central African Genotype","-N/A-","MF004383","10822","-N/A-","-N/A-","Human","Homo sapiens","Sudan","genomic RNA",10822,1.0822,">90%","Africa","Eastern Africa"
"113","CNFY0314/2016","Yellow fever virus","Angola Genotype","-N/A-","KY873606","9519","-N/A-","03/14/2016","Human","Homo sapiens","China","genomic RNA",9519,0.9519,">90%","Asia","China+"
"114","CNFY0321/2016","Yellow fever virus","Angola Genotype","-N/A-","KY873607","10744","-N/A-","03/21/2016","Human","Homo sapiens","China","genomic RNA",10744,1.0744,">90%","Asia","China+"
"115","CNFY0323/2016","Yellow fever virus","Angola Genotype","-N/A-","KY873608","10345","-N/A-","03/23/2016","Human","Homo sapiens","China","genomic RNA",10345,1.0345,">90%","Asia","China+"
"116","Bolivia 88/1999","Yellow fever virus",NA,"-N/A-","MF004382","10795","-N/A-","01/01/1999","Human","Homo sapiens","Bolivia","genomic RNA",10795,1.0795,">90%","South America","Rest South America"
"117","Asibi","Yellow fever virus","West Africa Genotype II","-N/A-","MF405338","10395","-N/A-","1927","Human","Homo sapiens","Ghana","genomic RNA",10395,1.0395,">90%","Africa","Western Africa"
"118","UNKNOWN-LP837643","Yellow fever virus","West Africa Genotype II","-N/A-","LP837643","10838","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10838,1.0838,">90%",NA,NA
"119","Suriname_2017","Yellow fever virus",NA,"-N/A-","MF347613","10212","-N/A-","2017","Human","Homo sapiens","Suriname","genomic RNA",10212,1.0212,">90%","South America","Rest South America"
"120","YFV/Human/Brazil/2017/M26","Yellow fever virus",NA,"-N/A-","MH018072","10213","-N/A-","01/07/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"121","YFV/Monkey/Brazil/2017/M5","Yellow fever virus",NA,"-N/A-","MH018064","10213","-N/A-","02/15/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"122","YFV/Monkey/Brazil/2017/M7","Yellow fever virus",NA,"-N/A-","MH018065","10213","-N/A-","02/14/2017","Monkey","Cebidae sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"123","YFV/Monkey/Brazil/2017/M9","Yellow fever virus",NA,"-N/A-","MH018066","10213","-N/A-","02/15/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"124","YFV/Monkey/Brazil/2017/M11","Yellow fever virus",NA,"-N/A-","MH018067","10213","-N/A-","02/13/2017","Monkey","Cebidae sp.","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"125","YFV/Human/Brazil/2017/M16","Yellow fever virus",NA,"-N/A-","MH018068","10213","-N/A-","01/09/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"126","YFV/Human/Brazil/2017/M17","Yellow fever virus",NA,"-N/A-","MH018069","9509","-N/A-","01/14/2017","Human","Homo sapiens","Brazil","genomic RNA",9509,0.9509,">90%","South America","Brazil"
"127","YFV/Human/Brazil/2017/M18","Yellow fever virus","West Africa Genotype II","-N/A-","MH018070","10213","-N/A-","01/21/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"128","YFV/Human/Brazil/2017/M25","Yellow fever virus",NA,"-N/A-","MH018071","9925","-N/A-","01/25/2017","Human","Homo sapiens","Brazil","genomic RNA",9925,0.9925,">90%","South America","Brazil"
"129","YFV/Human/Brazil/2017/M35","Yellow fever virus",NA,"-N/A-","MH018073","10213","-N/A-","01/20/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"130","YFV/Human/Brazil/2017/M36","Yellow fever virus",NA,"-N/A-","MH018074","10213","-N/A-","01/14/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"131","YFV/Human/Brazil/2017/M43","Yellow fever virus","West Africa Genotype II","-N/A-","MH018075","9519","-N/A-","01/18/2017","Human","Homo sapiens","Brazil","genomic RNA",9519,0.9519,">90%","South America","Brazil"
"132","YFV/Human/Brazil/2017/M47","Yellow fever virus",NA,"-N/A-","MH018076","10213","-N/A-","01/19/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"133","YFV/Human/Brazil/2017/M48","Yellow fever virus",NA,"-N/A-","MH018077","10213","-N/A-","01/07/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"134","YFV/Human/Brazil/2017/M51","Yellow fever virus",NA,"-N/A-","MH018078","10213","-N/A-","01/18/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"135","Ap7M","Yellow fever virus","West Africa Genotype II","-N/A-","MF926243","10195","-N/A-","2015","Hamster","hamster","France","genomic RNA",10195,1.0195,">90%","Europe","Western Europe"
"136","YFV/Human/Brazil/2017/M58","Yellow fever virus",NA,"-N/A-","MH018079","10213","-N/A-","01/28/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
"137","YFV/Human/Brazil/2017/M68","Yellow fever virus",NA,"-N/A-","MH018080","10213","-N/A-","01/28/2017","Human","Homo sapiens","Brazil","genomic RNA",10213,1.0213,">90%","South America","Brazil"
