"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","Segment","Protein Name","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"40","RV2652","Rift Valley fever phlebovirus","MW316061","221","-N/A-","2018","Alpaca","alpacas","South Africa","genomic RNA","S","nucleocapsid protein",221,0.0184166666666667,"0-50%","Africa","Southern Africa"
"41","RV2655","Rift Valley fever phlebovirus","MW316060","498","-N/A-","2018","Alpaca","alpacas","South Africa","genomic RNA","M","glycoprotein G2",498,0.0415,"0-50%","Africa","Southern Africa"
"42","RV2652","Rift Valley fever phlebovirus","MW316059","498","-N/A-","2018","Alpaca","alpacas","South Africa","genomic RNA","M","glycoprotein G2",498,0.0415,"0-50%","Africa","Southern Africa"
"43","RV2655","Rift Valley fever phlebovirus","MW316058","314","-N/A-","2018","Alpaca","alpacas","South Africa","genomic RNA","L","RNA polymerase",314,0.0261666666666667,"0-50%","Africa","Southern Africa"
"44","RV2652","Rift Valley fever phlebovirus","MW316057","314","-N/A-","2018","Alpaca","alpacas","South Africa","genomic RNA","L","RNA polymerase",314,0.0261666666666667,"0-50%","Africa","Southern Africa"
"45","ZH-501","Rift Valley fever phlebovirus","MZ218760","714","-N/A-","1977","Unknown","-N/A-","Egypt","genomic RNA","M","polyprotein",714,0.0595,"0-50%","Africa","Northern Africa"
"46","214445","Rift Valley fever phlebovirus","HM587074","490","-N/A-","1983","Mosquito","Aedes mcintoshi","Kenya","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"47","TAN/Dod-002/07","Rift Valley fever phlebovirus","HM586982","1691","-N/A-","03/14/2007","Unknown","-N/A-","Tanzania","genomic RNA","S","non-structural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Southern Africa"
"48","SPU44/85","Rift Valley fever phlebovirus","HM587079","490","-N/A-","1985","Human","Homo sapiens","Zambia","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"49","H1 MAU 03","Rift Valley fever phlebovirus","EF160116","726","-N/A-","-N/A-","Human","Homo sapiens","Mauritania","genomic RNA","M","G2 protein",726,0.0605,"0-50%","Africa","Western Africa"
"50","SPU77NAM04","Rift Valley fever phlebovirus","EU312124","1690","-N/A-","2004","Human","Homo sapiens","Namibia","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Southern Africa"
"51","2007004193","Rift Valley fever phlebovirus","EU574005","6404","-N/A-","04/23/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"52","KEN/Gar-008/06","Rift Valley fever phlebovirus","HM586965","3885","-N/A-","12/21/2006","Unknown","-N/A-","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"53","H2 MAU 03","Rift Valley fever phlebovirus","EF160115","726","-N/A-","-N/A-","Human","Homo sapiens","Mauritania","genomic RNA","M","G2 protein",726,0.0605,"0-50%","Africa","Western Africa"
"54","SPU384001KEN97","Rift Valley fever phlebovirus","EU312128","1690","-N/A-","1997","Human","Homo sapiens","Kenya","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"55","2007002482","Rift Valley fever phlebovirus","EU574009","6404","-N/A-","02/21/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"56","B674","Rift Valley fever phlebovirus","HM587106","490","-N/A-","1963","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"57","B1143","Rift Valley fever phlebovirus","HM587075","490","-N/A-","1977","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"58","ZC-3349","Rift Valley fever phlebovirus","DQ375412","6404","-N/A-","1978","Unknown","-N/A-","Egypt","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Northern Africa"
"59","Kenya 83 (21445)","Rift Valley fever phlebovirus","DQ380171","1691","-N/A-","1983","Mosquito","Aedes macintoshi","Kenya","genomic RNA","S","non-structural protein, nucleocapsid",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"60","Zinga","Rift Valley fever phlebovirus","DQ375419","6404","-N/A-","1969","Unknown","-N/A-","Central African Republic","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"61","SA184/10","Rift Valley fever phlebovirus","HM587107","490","-N/A-","2010","Human","Homo sapiens","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"62","MgH824","Rift Valley fever phlebovirus","DQ375414","6404","-N/A-","1979","Unknown","-N/A-","Madagascar","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"63","OS-8","Rift Valley fever phlebovirus","DQ380177","1690","-N/A-","1987","Human","Homo sapiens","Mauritania","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"64","2250/74","Rift Valley fever phlebovirus","DQ375413","6404","-N/A-","1974","Unknown","-N/A-","Zimbabwe","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Southern Africa"
"65","OS-3","Rift Valley fever phlebovirus","DQ380178","1690","-N/A-","1987","Human","Homo sapiens","Mauritania","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"66","H2 MAU 03","Rift Valley fever phlebovirus","EF160114","601","-N/A-","-N/A-","Human","Homo sapiens","Mauritania","genomic RNA","-N/A-","NSs protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"67","vacEGY","Rift Valley fever phlebovirus","EU312129","1690","-N/A-","-N/A-","Unknown","-N/A-","Uganda","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"68","2007002820","Rift Valley fever phlebovirus","EU574008","6404","-N/A-","02/09/2007","Buffalo","Syncerus caffer (buffalo)","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"69","An999MAD91","Rift Valley fever phlebovirus","EU312107","1691","-N/A-","1991","Cattle","bovine","Madagascar","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"70","0413-08","Rift Valley fever phlebovirus","GQ443178","564","-N/A-","02/20/2008","Cattle","Bos taurus","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"71","AnK6087GUI84","Rift Valley fever phlebovirus","EU312109","1690","-N/A-","1984","Bat","Micropteropus pusillus (bat)","Guinea","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"72","S19_ARBkvx_SN_BA_1993","Rift Valley fever phlebovirus","JN995262","601","-N/A-","1993","Mosquito","Aedes vexans","Senegal","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"73","SPU77/04","Rift Valley fever phlebovirus","HM587100","490","-N/A-","2004","Human","Homo sapiens","Namibia","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"74","OS-9","Rift Valley fever phlebovirus","DQ380179","1690","-N/A-","1987","Human","Homo sapiens","Mauritania","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"75","KEN/Kil-006/07","Rift Valley fever phlebovirus","HM586966","3885","-N/A-","01/05/2007","Unknown","-N/A-","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"76","S25_ANM_MR_HG_1998","Rift Valley fever phlebovirus","JN995268","601","-N/A-","1998","Sheep","sheep","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"77","0212-08","Rift Valley fever phlebovirus","GQ443176","564","-N/A-","01/30/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"78","KEN/KLF-Msq","Rift Valley fever phlebovirus","HM586962","6404","-N/A-","01/13/2007","Mosquito","mosquito","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"79","HB1752","Rift Valley fever phlebovirus","KJ782452","1690","-N/A-","12/24/1985","Human","Homo sapiens","Central African Republic","genomic RNA","S","nonstructural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"80","VRL1290/78","Rift Valley fever phlebovirus","HM587077","490","-N/A-","1978","Cow","bovine fetus","Zimbabwe","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"81","KEN/Bar-032/07","Rift Valley fever phlebovirus","HM586968","3885","-N/A-","02/03/2007","Unknown","-N/A-","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"82","S22_ANM_MR_HG_1998","Rift Valley fever phlebovirus","JN995266","601","-N/A-","1998","Goat","goat","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"83","0427-08","Rift Valley fever phlebovirus","GQ443179","564","-N/A-","02/22/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"84","SPU204/85","Rift Valley fever phlebovirus","HM587076","490","-N/A-","1985","Human","Homo sapiens","Angola","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"85","H1 MAU 03","Rift Valley fever phlebovirus","EF160117","121","-N/A-","-N/A-","Human","Homo sapiens","Mauritania","genomic RNA","-N/A-","L protein",121,0.0100833333333333,"0-50%","Africa","Western Africa"
"86","VRL1887ZIM78","Rift Valley fever phlebovirus","EU312135","1690","-N/A-","1978","Cattle","bovine","Zimbabwe","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Southern Africa"
"87","SPU2223KEN07","Rift Valley fever phlebovirus","EU312140","1691","-N/A-","2007","Human","Homo sapiens","Kenya","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"88","VRL1217/78","Rift Valley fever phlebovirus","HM587073","490","-N/A-","1978","Sheep","ovine","Zimbabwe","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"89","ArB1986","Rift Valley fever phlebovirus","KJ782456","3885","-N/A-","06/12/1969","Mosquito","Aedes palpalis","Central African Republic","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Western Africa"
"90","Sudan-1","Rift Valley fever phlebovirus","KU746664","219","-N/A-","10/20/2010","Human","Homo sapiens","Sudan","genomic RNA","S","NL",219,0.01825,"0-50%","Africa","Eastern Africa"
"91","KEN07-KUR340","Rift Valley fever phlebovirus","EF460404","3885","-N/A-","01/2007","Unknown","-N/A-","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"92","TAN/Dod-002/07","Rift Valley fever phlebovirus","HM586960","6404","-N/A-","03/14/2007","Human","Homo sapiens","Tanzania","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Southern Africa"
"93","VRL2051/76","Rift Valley fever phlebovirus","HM587072","490","-N/A-","1976","Human","Homo sapiens","Zimbabwe","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"94","S16_ANM_MR_HG_1998","Rift Valley fever phlebovirus","JN995265","601","-N/A-","1998","Goat","goat","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"95","B309","Rift Valley fever phlebovirus","HM587070","490","-N/A-","1977","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"96","214445KEN83","Rift Valley fever phlebovirus","EU312105","1691","-N/A-","1983","Mosquito","Aedes mcintoshi (mosquito)","Kenya","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"97","HB1752","Rift Valley fever phlebovirus","KJ782454","6404","-N/A-","12/24/1985","Human","Homo sapiens","Central African Republic","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"98","H2 MAU 03","Rift Valley fever phlebovirus","EF160118","121","-N/A-","-N/A-","Human","Homo sapiens","Mauritania","genomic RNA","-N/A-","L protein",121,0.0100833333333333,"0-50%","Africa","Western Africa"
"99","VRL1032ZIM78","Rift Valley fever phlebovirus","EU312132","1691","-N/A-","1978","Cattle","bovine","Zimbabwe","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Southern Africa"
"100","SPU10315KEN07","Rift Valley fever phlebovirus","EU312147","1691","-N/A-","2007","Human","Homo sapiens","Kenya","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"101","95EG vaccine","Rift Valley fever phlebovirus","HM587103","490","-N/A-","1944","Unknown","-N/A-","Uganda","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"102","ArB1986","Rift Valley fever phlebovirus","KJ782455","1690","-N/A-","06/12/1969","Mosquito","Aedes palpalis","Central African Republic","genomic RNA","S","nonstructural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"103","KEN/Mal-032/07","Rift Valley fever phlebovirus","HM586967","3885","-N/A-","01/15/2007","Unknown","-N/A-","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"104","56KEN65","Rift Valley fever phlebovirus","EU312103","1690","-N/A-","1965","Cattle","bovine","Kenya","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"105","cam8mauritania","Rift Valley fever phlebovirus","JQ974833","859","-N/A-","2011","Camel","camel","Mauritania","genomic RNA","M","glycoprotein",859,0.0715833333333333,"0-50%","Africa","Western Africa"
"106","SPU52/99/3","Rift Valley fever phlebovirus","HM587049","490","-N/A-","1999","Bovine","African buffalo","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"107","VRL2230ZIM78","Rift Valley fever phlebovirus","EU312136","1690","-N/A-","1978","Cattle","bovine","Zimbabwe","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Southern Africa"
"108","SPU2220KEN07","Rift Valley fever phlebovirus","EU312143","1691","-N/A-","2007","Human","Homo sapiens","Kenya","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"109","Sudan 28-2010","Rift Valley fever phlebovirus","JQ820491","3884","-N/A-","10/2010","Human","Homo sapiens","Sudan","genomic RNA","M","glycoprotein",3884,0.323666666666667,"0-50%","Africa","Eastern Africa"
"110","VRL763ZIM70","Rift Valley fever phlebovirus","EU312130","1690","-N/A-","1970","Cattle","bovine","Zimbabwe","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Southern Africa"
"111","SPU10302KEN07","Rift Valley fever phlebovirus","EU312145","1691","-N/A-","2007","Human","Homo sapiens","Kenya","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"112","VRL1290ZIM78","Rift Valley fever phlebovirus","EU312133","1691","-N/A-","1978","Cattle","bovine","Zimbabwe","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Southern Africa"
"113","SPU10307KEN07","Rift Valley fever phlebovirus","EU312146","1690","-N/A-","2007","Human","Homo sapiens","Kenya","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"114","CAR-R1622","Rift Valley fever phlebovirus","DQ380219","3885","-N/A-","1985","Human","Homo sapiens","Central African Republic","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Western Africa"
"115","S27_ARDwcx_SN_DI_1998","Rift Valley fever phlebovirus","JN995269","601","-N/A-","1998","Mosquito","Culex poicilipes","Senegal","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"116","HB1752","Rift Valley fever phlebovirus","KJ782453","3885","-N/A-","12/24/1985","Human","Homo sapiens","Central African Republic","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Western Africa"
"117","73HB1449","Rift Valley fever phlebovirus","DQ375416","6404","-N/A-","1974","Unknown","-N/A-","Central African Republic","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"118","SA-75","Rift Valley fever phlebovirus","DQ380175","1691","-N/A-","1975","Human","Homo sapiens","South Africa","genomic RNA","S","non-structural protein, nucleocapsid",1691,0.140916666666667,"0-50%","Africa","Southern Africa"
"119","An1830","Rift Valley fever phlebovirus","HM587108","490","-N/A-","1956","Sheep","ovine","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"120","SPU204ANGL85","Rift Valley fever phlebovirus","EU312125","1691","-N/A-","1985","Human","Homo sapiens","Angola","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Southern Africa"
"121","2007004194","Rift Valley fever phlebovirus","EU574004","6404","-N/A-","05/14/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"122","SPU52/99/2","Rift Valley fever phlebovirus","HM587048","490","-N/A-","1999","Bovine","African buffalo","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"123","74HB59","Rift Valley fever phlebovirus","DQ375415","6404","-N/A-","1974","Unknown","-N/A-","Central African Republic","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"124","Kenya 56 (IB8)","Rift Valley fever phlebovirus","DQ380176","1690","-N/A-","-N/A-","Cattle","bovine","Kenya","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"125","VRL1516ZIM78","Rift Valley fever phlebovirus","EU312134","1690","-N/A-","1978","Sheep","ovine","Zimbabwe","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Southern Africa"
"126","SPU2214KEN07","Rift Valley fever phlebovirus","EU312141","1691","-N/A-","2007","Human","Homo sapiens","Kenya","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"127","0406-08","Rift Valley fever phlebovirus","GQ443177","564","-N/A-","02/20/2008","Cattle","Bos taurus","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"128","KEN/Gar-Msq131B-04/06","Rift Valley fever phlebovirus","HM586983","1691","-N/A-","12/29/2006","Unknown","-N/A-","Kenya","genomic RNA","S","non-structural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"129","688/78","Rift Valley fever phlebovirus","DQ924959","738","-N/A-","1978","Unknown","-N/A-","Zimbabwe","viral cRNA","S","nucleocapsid",738,0.0615,"0-50%","Africa","Southern Africa"
