"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","days","date","date2","date4","date5","Continent","Continent_Region"
"32","FGU-Jun-97","Dengue virus 2","2_AsianAmerican","EU920829","10724","-N/A-",1997-06-01,"Unknown","-N/A-","French Guiana","genomic RNA",10724,0.974909090909091,">90%",1997-06-01,1997-06-01,1997-06-01,1997-06-01,1997-01-01,NA,NA
"33","FGU-Fev-98","Dengue virus 2","2_AsianAmerican","EU920830","10717","-N/A-",1998-02-01,"Unknown","-N/A-","French Guiana","genomic RNA",10717,0.974272727272727,">90%",1998-02-01,1998-02-01,1998-01-25,1998-01-11,1998-01-01,NA,NA
"34","FGU-Aug-98","Dengue virus 2","2_AsianAmerican","EU920831","10694","-N/A-",1998-08-01,"Unknown","-N/A-","French Guiana","genomic RNA",10694,0.972181818181818,">90%",1998-08-01,1998-07-26,1998-07-26,1998-07-26,1998-01-01,NA,NA
"35","D1/Taiwan/813KH9809b","Dengue virus 1","1-I","KY496856","10689","-N/A-",1998-09-01,"Human","Homo sapiens","Taiwan","genomic RNA",10689,0.971727272727273,">90%",1998-09-01,1998-08-30,1998-08-23,1998-08-23,1998-01-01,"Asia","China+"
"36","D3/Vietnam/9809aTw","Dengue virus 3","3-II","KY670634","10652","-N/A-",1998-09-01,"Human","Homo sapiens","Taiwan","genomic RNA",10652,0.968363636363636,">90%",1998-09-01,1998-08-30,1998-08-23,1998-08-23,1998-01-01,"Asia","China+"
"37","133denv2_BR_Rj","Dengue virus 2","2-AsianAmerican","MN589881","10651","-N/A-",1999-01-12,"Human","Homo sapiens","Brazil","genomic RNA",10651,0.968272727272727,">90%",1999-01-12,1999-01-10,1999-01-10,1999-01-10,1999-01-01,"South America","Brazil"
"38","131denv2_BR_Rj","Dengue virus 2","2-AsianAmerican","MN589879","10651","-N/A-",1999-04-09,"Human","Homo sapiens","Brazil","genomic RNA",10651,0.968272727272727,">90%",1999-04-09,1999-04-04,1999-04-04,1999-04-04,1999-01-01,"South America","Brazil"
"39","132denv2_BR_Rj","Dengue virus 2","2-AsianAmerican","MN589880","10651","-N/A-",1999-04-09,"Human","Homo sapiens","Brazil","genomic RNA",10651,0.968272727272727,">90%",1999-04-09,1999-04-04,1999-04-04,1999-04-04,1999-01-01,"South America","Brazil"
"40","FGU-May-99","Dengue virus 2","2_AsianAmerican","EU920832","10698","-N/A-",1999-05-01,"Unknown","-N/A-","French Guiana","genomic RNA",10698,0.972545454545454,">90%",1999-05-01,1999-04-25,1999-04-18,1999-04-04,1999-01-01,NA,NA
"41","FGU-Jan-00","Dengue virus 2","2_AsianAmerican","EU920833","10649","-N/A-",2000-01-01,"Unknown","-N/A-","French Guiana","genomic RNA",10649,0.968090909090909,">90%",2000-01-01,1999-12-26,1999-12-26,1999-12-12,2000-01-01,NA,NA
"42","134denv2_BR_Rj","Dengue virus 2","2-AsianAmerican","MN589882","10651","-N/A-",2000-05-03,"Human","Homo sapiens","Brazil","genomic RNA",10651,0.968272727272727,">90%",2000-05-03,2000-04-30,2000-04-30,2000-04-30,2000-01-01,"South America","Brazil"
"43","Taiwan-2K0713","Dengue virus 4","4-II","AY776330","10353","-N/A-",2000-07-13,"Unknown","-N/A-","Taiwan","genomic RNA",10353,0.941181818181818,">90%",2000-07-13,2000-07-09,2000-07-09,2000-06-25,2000-01-01,"Asia","China+"
"44","135denv2_BR_Rj","Dengue virus 2","2-AsianAmerican","MN589883","10651","-N/A-",2001-04-02,"Human","Homo sapiens","Brazil","genomic RNA",10651,0.968272727272727,">90%",2001-04-02,2001-04-01,2001-04-01,2001-04-01,2001-01-01,"South America","Brazil"
"45","136denv2_BR_Rj","Dengue virus 2","2-AsianAmerican","MN589884","10651","-N/A-",2001-05-30,"Human","Homo sapiens","Brazil","genomic RNA",10651,0.968272727272727,">90%",2001-05-30,2001-05-27,2001-05-27,2001-05-27,2001-01-01,"South America","Brazil"
"46","904-DHF-10/31/2001","Dengue virus 2",NA,"DQ645540","10671","-N/A-",2001-10-31,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2001-10-31,2001-10-28,2001-10-28,2001-10-14,2001-01-01,"Asia","China+"
"47","915-DF-11/03/2001","Dengue virus 2",NA,"DQ645541","10616","-N/A-",2001-11-03,"Unknown","-N/A-","Taiwan","genomic RNA",10616,0.965090909090909,">90%",2001-11-03,2001-10-28,2001-10-28,2001-10-14,2001-01-01,"Asia","China+"
"48","950-DF-11/12/2001","Dengue virus 2",NA,"DQ645542","10616","-N/A-",2001-11-12,"Unknown","-N/A-","Taiwan","genomic RNA",10616,0.965090909090909,">90%",2001-11-12,2001-11-11,2001-11-11,2001-11-11,2001-01-01,"Asia","China+"
"49","FGU-Dec-01","Dengue virus 2","2_AsianAmerican","EU920834","10676","-N/A-",2001-12-01,"Unknown","-N/A-","French Guiana","genomic RNA",10676,0.970545454545455,">90%",2001-12-01,2001-11-25,2001-11-25,2001-11-11,2001-01-01,NA,NA
"50","1018-DF-12/03/2001","Dengue virus 2",NA,"DQ645543","10671","-N/A-",2001-12-03,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2001-12-03,2001-12-02,2001-11-25,2001-11-11,2001-01-01,"Asia","China+"
"51","1024-DHF-12/07/2001","Dengue virus 2",NA,"DQ645544","10671","-N/A-",2001-12-07,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2001-12-07,2001-12-02,2001-11-25,2001-11-11,2001-01-01,"Asia","China+"
"52","DENV-2/PE/FSL699/2002","Dengue virus 2","2_AsianAmerican","KC294216","10723","-N/A-",2002-02-06,"Human","Homo sapiens","Peru","genomic RNA",10723,0.974818181818182,">90%",2002-02-06,2002-02-03,2002-02-03,2002-02-03,2002-01-01,"South America","Rest South America"
"53","DENV-2/PE/NFI 52/2002","Dengue virus 2","2_AsianAmerican","KC294222","10723","-N/A-",2002-03-22,"Human","Homo sapiens","Peru","genomic RNA",10723,0.974818181818182,">90%",2002-03-22,2002-03-17,2002-03-17,2002-03-03,2002-01-01,"South America","Rest South America"
"54","FGU-Apr-02","Dengue virus 2","2_AsianAmerican","EU920835","10724","-N/A-",2002-04-01,"Unknown","-N/A-","French Guiana","genomic RNA",10724,0.974909090909091,">90%",2002-04-01,2002-03-31,2002-03-31,2002-03-31,2002-01-01,NA,NA
"55","NC02/030602-585","Dengue virus 1","1-IV","JQ915077","10699","-N/A-",2002-06-03,"Human","Homo sapiens","New Caledonia","genomic RNA",10699,0.972636363636364,">90%",2002-06-03,2002-06-02,2002-05-26,2002-05-26,2002-01-01,"Australia","Oceania"
"56","1183-DF-06/17/2002","Dengue virus 2",NA,"DQ645545","10616","-N/A-",2002-06-17,"Unknown","-N/A-","Taiwan","genomic RNA",10616,0.965090909090909,">90%",2002-06-17,2002-06-16,2002-06-09,2002-05-26,2002-01-01,"Asia","China+"
"57","1222-DF-06/24/2002","Dengue virus 2",NA,"DQ645546","10671","-N/A-",2002-06-24,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2002-06-24,2002-06-23,2002-06-23,2002-06-23,2002-01-01,"Asia","China+"
"58","1421-DF-07/16/2002","Dengue virus 2",NA,"DQ645547","10671","-N/A-",2002-07-16,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2002-07-16,2002-07-14,2002-07-07,2002-06-23,2002-01-01,"Asia","China+"
"59","1464-DHF-07/20/2002","Dengue virus 2",NA,"DQ645548","10644","-N/A-",2002-07-20,"Unknown","-N/A-","Taiwan","genomic RNA",10644,0.967636363636364,">90%",2002-07-20,2002-07-14,2002-07-07,2002-06-23,2002-01-01,"Asia","China+"
"60","1945-DHF-08/18/2002","Dengue virus 2",NA,"DQ645549","10671","-N/A-",2002-08-18,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2002-08-18,2002-08-18,2002-08-18,2002-08-18,2002-01-01,"Asia","China+"
"61","1949-DF-08/19/2002","Dengue virus 2",NA,"DQ645550","10671","-N/A-",2002-08-19,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2002-08-19,2002-08-18,2002-08-18,2002-08-18,2002-01-01,"Asia","China+"
"62","CAM7786","Dengue virus 2","2_AsianAmerican","GU369819","10521","-N/A-",2002-08-22,"Human","Homo sapiens","Mexico","genomic RNA",10521,0.956454545454545,">90%",2002-08-22,2002-08-18,2002-08-18,2002-08-18,2002-01-01,"South America","Mexico"
"63","GZ2002","Dengue virus 1","1-IV","JN205310","10735","-N/A-",2002-09-01,"Human","Homo sapiens","China","genomic RNA",10735,0.975909090909091,">90%",2002-09-01,2002-09-01,2002-09-01,2002-08-18,2002-01-01,"Asia","China+"
"64","2191-DF-09/12/2002","Dengue virus 2",NA,"DQ645551","10671","-N/A-",2002-09-12,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2002-09-12,2002-09-08,2002-09-01,2002-08-18,2002-01-01,"Asia","China+"
"65","2208-DHF-09/13/2002","Dengue virus 2",NA,"DQ645552","10671","-N/A-",2002-09-13,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2002-09-13,2002-09-08,2002-09-01,2002-08-18,2002-01-01,"Asia","China+"
"66","2559-DHF-10/23/2002","Dengue virus 2",NA,"DQ645553","10671","-N/A-",2002-10-23,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2002-10-23,2002-10-20,2002-10-13,2002-10-13,2002-01-01,"Asia","China+"
"67","2587-DF-10/26/2002","Dengue virus 2",NA,"DQ645554","10616","-N/A-",2002-10-26,"Unknown","-N/A-","Taiwan","genomic RNA",10616,0.965090909090909,">90%",2002-10-26,2002-10-20,2002-10-13,2002-10-13,2002-01-01,"Asia","China+"
"68","2659-DHF-11/01/2002","Dengue virus 2",NA,"DQ645555","10616","-N/A-",2002-11-01,"Unknown","-N/A-","Taiwan","genomic RNA",10616,0.965090909090909,">90%",2002-11-01,2002-10-27,2002-10-27,2002-10-13,2002-01-01,"Asia","China+"
"69","2784-DF-11/18/2002","Dengue virus 2",NA,"DQ645556","10671","-N/A-",2002-11-18,"Unknown","-N/A-","Taiwan","genomic RNA",10671,0.970090909090909,">90%",2002-11-18,2002-11-17,2002-11-10,2002-11-10,2002-01-01,"Asia","China+"
"70","00178/03","Dengue virus 1","2-AsianI","ON046268","10507","-N/A-",2003-01-24,"Human","Homo sapiens","Thailand","genomic RNA",10507,0.955181818181818,">90%",2003-01-24,2003-01-19,2003-01-19,2003-01-05,2003-01-01,"Asia","Southeastern Asia"
"71","01023/03","Dengue virus 1","1-I","ON038478","10459","-N/A-",2003-05-24,"Human","Homo sapiens","Thailand","genomic RNA",10459,0.950818181818182,">90%",2003-05-24,2003-05-18,2003-05-11,2003-04-27,2003-01-01,"Asia","Southeastern Asia"
"72","01566/03","Dengue virus 1","2-AsianI","ON046269","10507","-N/A-",2003-08-24,"Human","Homo sapiens","Thailand","genomic RNA",10507,0.955181818181818,">90%",2003-08-24,2003-08-24,2003-08-17,2003-08-17,2003-01-01,"Asia","Southeastern Asia"
"73","01801/03","Dengue virus 1","1-I","ON038479","10459","-N/A-",2003-09-28,"Human","Homo sapiens","Thailand","genomic RNA",10459,0.950818181818182,">90%",2003-09-28,2003-09-28,2003-09-28,2003-09-14,2003-01-01,"Asia","Southeastern Asia"
"74","D4/Philippines/0310aTw","Dengue virus 4",NA,"KY670635","10617","-N/A-",2003-10-01,"Human","Homo sapiens","Taiwan","genomic RNA",10617,0.965181818181818,">90%",2003-10-01,2003-09-28,2003-09-28,2003-09-14,2003-01-01,"Asia","China+"
"75","00435/04","Dengue virus 4","4-I","ON045729","10549","-N/A-",2004-06-11,"Human","Homo sapiens","Thailand","genomic RNA",10549,0.959,">90%",2004-06-11,2004-06-06,2004-06-06,2004-05-23,2004-01-01,"Asia","Southeastern Asia"
"76","00440/04","Dengue virus 1","1-I","ON038480","10459","-N/A-",2004-06-13,"Human","Homo sapiens","Thailand","genomic RNA",10459,0.950818181818182,">90%",2004-06-13,2004-06-13,2004-06-06,2004-05-23,2004-01-01,"Asia","Southeastern Asia"
"77","D1/Taiwan/900PT0407a","Dengue virus 1","1-IV","KX951689","10689","-N/A-",2004-07-01,"Human","Homo sapiens","Taiwan","genomic RNA",10689,0.971727272727273,">90%",2004-07-01,2004-06-27,2004-06-20,2004-06-20,2004-01-01,"Asia","China+"
"78","NC04/030704-1994","Dengue virus 1","1-IV","JQ915078","10197","-N/A-",2004-07-03,"Human","Homo sapiens","New Caledonia","genomic RNA",10197,0.927,">90%",2004-07-03,2004-06-27,2004-06-20,2004-06-20,2004-01-01,"Australia","Oceania"
"79","01224/04","Dengue virus 1","2-AsianI","ON046270","10507","-N/A-",2004-10-16,"Human","Homo sapiens","Thailand","genomic RNA",10507,0.955181818181818,">90%",2004-10-16,2004-10-10,2004-10-10,2004-10-10,2004-01-01,"Asia","Southeastern Asia"
"80","01398/04","Dengue virus 1","1-I","ON038481","10459","-N/A-",2004-11-03,"Human","Homo sapiens","Thailand","genomic RNA",10459,0.950818181818182,">90%",2004-11-03,2004-10-31,2004-10-24,2004-10-10,2004-01-01,"Asia","Southeastern Asia"
"81","01544/04","Dengue virus 4","4-I","ON045730","10549","-N/A-",2004-11-20,"Human","Homo sapiens","Thailand","genomic RNA",10549,0.959,">90%",2004-11-20,2004-11-14,2004-11-07,2004-11-07,2004-01-01,"Asia","Southeastern Asia"
"82","01542/04","Dengue virus 1","2-AsianI","ON046271","10507","-N/A-",2004-11-20,"Human","Homo sapiens","Thailand","genomic RNA",10507,0.955181818181818,">90%",2004-11-20,2004-11-14,2004-11-07,2004-11-07,2004-01-01,"Asia","Southeastern Asia"
"83","01582/04","Dengue virus 4","4-I","ON045731","10549","-N/A-",2004-11-26,"Human","Homo sapiens","Thailand","genomic RNA",10549,0.959,">90%",2004-11-26,2004-11-21,2004-11-21,2004-11-07,2004-01-01,"Asia","Southeastern Asia"
"84","DH/S1/05/04","Dengue virus 1","1-IV","JN697056","10735","-N/A-",2005-01-01,"Human","Homo sapiens (NPHL Mol B04)","Malaysia","genomic RNA",10735,0.975909090909091,">90%",2005-01-01,2004-12-26,2004-12-19,2004-12-05,2005-01-01,"Asia","Southeastern Asia"
"85","DH/S1/05/154","Dengue virus 1","1-I","JN697057","10735","-N/A-",2005-01-11,"Human","Homo sapiens (NPHL Mol K154)","Malaysia","genomic RNA",10735,0.975909090909091,">90%",2005-01-11,2005-01-09,2005-01-02,2005-01-02,2005-01-01,"Asia","Southeastern Asia"
"86","DH/S1/05/152","Dengue virus 1","1-I","JN697058","10735","-N/A-",2005-01-12,"Human","Homo sapiens (NPHL Mol E152)","Malaysia","genomic RNA",10735,0.975909090909091,">90%",2005-01-12,2005-01-09,2005-01-02,2005-01-02,2005-01-01,"Asia","Southeastern Asia"
"87","00148/05","Dengue virus 1","1-I","ON038482","10459","-N/A-",2005-01-30,"Human","Homo sapiens","Thailand","genomic RNA",10459,0.950818181818182,">90%",2005-01-30,2005-01-30,2005-01-30,2005-01-30,2005-01-01,"Asia","Southeastern Asia"
"88","MAR-Jun-05","Dengue virus 2","2_AsianAmerican","EU920836","10724","-N/A-",2005-06-01,"Unknown","-N/A-","French Southern and Antarctic Lands","genomic RNA",10724,0.974909090909091,">90%",2005-06-01,2005-05-29,2005-05-22,2005-05-22,2005-01-01,NA,NA
"89","00754/05","Dengue virus 4","4-I","ON045732","10549","-N/A-",2005-07-19,"Human","Homo sapiens","Thailand","genomic RNA",10549,0.959,">90%",2005-07-19,2005-07-17,2005-07-17,2005-07-17,2005-01-01,"Asia","Southeastern Asia"
"90","SUR-Aug-05","Dengue virus 2","2_AsianAmerican","EU920838","10659","-N/A-",2005-08-01,"Unknown","-N/A-","Suriname","genomic RNA",10659,0.969,">90%",2005-08-01,2005-07-31,2005-07-31,2005-07-17,2005-01-01,"South America","Rest South America"
"91","MAR-Aug-05","Dengue virus 2","2_AsianAmerican","EU920837","10717","-N/A-",2005-08-01,"Unknown","-N/A-","French Southern and Antarctic Lands","genomic RNA",10717,0.974272727272727,">90%",2005-08-01,2005-07-31,2005-07-31,2005-07-17,2005-01-01,NA,NA
"92","MAR-Sep-05","Dengue virus 2","2_AsianAmerican","EU920839","10711","-N/A-",2005-09-01,"Unknown","-N/A-","French Southern and Antarctic Lands","genomic RNA",10711,0.973727272727273,">90%",2005-09-01,2005-08-28,2005-08-28,2005-08-14,2005-01-01,NA,NA
"93","SUR-Oct-05","Dengue virus 2","2_AsianAmerican","EU920842","10726","-N/A-",2005-10-01,"Unknown","-N/A-","Suriname","genomic RNA",10726,0.975090909090909,">90%",2005-10-01,2005-09-25,2005-09-25,2005-09-11,2005-01-01,"South America","Rest South America"
"94","MAR-Oct-05","Dengue virus 2","2_AsianAmerican","EU920841","10665","-N/A-",2005-10-01,"Unknown","-N/A-","French Southern and Antarctic Lands","genomic RNA",10665,0.969545454545455,">90%",2005-10-01,2005-09-25,2005-09-25,2005-09-11,2005-01-01,NA,NA
"95","FGU-Oct-05","Dengue virus 2","2_AsianAmerican","EU920840","10688","-N/A-",2005-10-01,"Unknown","-N/A-","French Guiana","genomic RNA",10688,0.971636363636364,">90%",2005-10-01,2005-09-25,2005-09-25,2005-09-11,2005-01-01,NA,NA
"96","MAR-Nov-05","Dengue virus 2","2_AsianAmerican","EU920843","10647","-N/A-",2005-11-01,"Unknown","-N/A-","French Southern and Antarctic Lands","genomic RNA",10647,0.967909090909091,">90%",2005-11-01,2005-10-30,2005-10-23,2005-10-09,2005-01-01,NA,NA
"97","P1 Thailand 2005","Dengue virus 1","1-I","MW362471","10735","-N/A-",2005-11-01,"Human","Homo sapiens","Thailand","genomic RNA",10735,0.975909090909091,">90%",2005-11-01,2005-10-30,2005-10-23,2005-10-09,2005-01-01,"Asia","Southeastern Asia"
"98","P3.1 Thailand 2005","Dengue virus 1","1-I","MW362472","10727","-N/A-",2005-11-01,"Human","Homo sapiens","Thailand","genomic RNA",10727,0.975181818181818,">90%",2005-11-01,2005-10-30,2005-10-23,2005-10-09,2005-01-01,"Asia","Southeastern Asia"
"99","P3.2 Thailand 2005","Dengue virus 1","1-I","MW362473","10725","-N/A-",2005-11-01,"Human","Homo sapiens","Thailand","genomic RNA",10725,0.975,">90%",2005-11-01,2005-10-30,2005-10-23,2005-10-09,2005-01-01,"Asia","Southeastern Asia"
"100","P3.3 Thailand 2005","Dengue virus 1","1-I","MW362474","10735","-N/A-",2005-11-01,"Human","Homo sapiens","Thailand","genomic RNA",10735,0.975909090909091,">90%",2005-11-01,2005-10-30,2005-10-23,2005-10-09,2005-01-01,"Asia","Southeastern Asia"
"101","P5.1 Thailand 2005","Dengue virus 1","1-I","MW362475","10708","-N/A-",2005-11-01,"Human","Homo sapiens","Thailand","genomic RNA",10708,0.973454545454545,">90%",2005-11-01,2005-10-30,2005-10-23,2005-10-09,2005-01-01,"Asia","Southeastern Asia"
