"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","days","date","date2","date4","date5","Continent","Continent_Region"
"29","PF13/251013-18","Zika virus","Asian","KY766069","11155","-N/A-",2013-10-25,"Human","Homo sapiens","French Polynesia","genomic RNA",11155,1.01409090909091,">90%",2013-10-25,2013-10-20,2013-10-20,2013-10-06,2013-01-01,"Australia","Oceania"
"30","PF13/251013-18","Zika virus","Asian","MG827392","10807","-N/A-",2013-10-25,"Human","Homo sapiens","French Polynesia","genomic RNA",10807,0.982454545454545,">90%",2013-10-25,2013-10-20,2013-10-20,2013-10-06,2013-01-01,"Australia","Oceania"
"31","1_0030_PF","Zika virus","Asian","KX447515","10588","-N/A-",2013-11-01,"Human","Homo sapiens","French Polynesia","genomic RNA",10588,0.962545454545455,">90%",2013-11-01,2013-10-27,2013-10-20,2013-10-06,2013-01-01,"Australia","Oceania"
"32","1_0199_PF","Zika virus","Asian","KX447519","9142","-N/A-",2013-11-01,"Human","Homo sapiens","French Polynesia","genomic RNA",9142,0.831090909090909,"50-90%",2013-11-01,2013-10-27,2013-10-20,2013-10-06,2013-01-01,"Australia","Oceania"
"33","H/PF/2013","Zika virus","Asian","KJ776791","10807","-N/A-",2013-11-28,"Human","Homo sapiens","French Polynesia","genomic RNA",10807,0.982454545454545,">90%",2013-11-28,2013-11-24,2013-11-17,2013-11-03,2013-01-01,"Australia","Oceania"
"34","1_0087_PF","Zika virus","Asian","KX447509","10587","-N/A-",2013-12-01,"Human","Homo sapiens","French Polynesia","genomic RNA",10587,0.962454545454545,">90%",2013-12-01,2013-12-01,2013-12-01,2013-12-01,2013-01-01,"Australia","Oceania"
"35","1_0049_PF","Zika virus","Asian","KX447510","10588","-N/A-",2013-12-01,"Human","Homo sapiens","French Polynesia","genomic RNA",10588,0.962545454545455,">90%",2013-12-01,2013-12-01,2013-12-01,2013-12-01,2013-01-01,"Australia","Oceania"
"36","1_0181_PF","Zika virus","Asian","KX447512","10586","-N/A-",2013-12-01,"Human","Homo sapiens","French Polynesia","genomic RNA",10586,0.962363636363636,">90%",2013-12-01,2013-12-01,2013-12-01,2013-12-01,2013-01-01,"Australia","Oceania"
"37","1_0134_PF","Zika virus","Asian","KX447513","10634","-N/A-",2013-12-01,"Human","Homo sapiens","French Polynesia","genomic RNA",10634,0.966727272727273,">90%",2013-12-01,2013-12-01,2013-12-01,2013-12-01,2013-01-01,"Australia","Oceania"
"38","1_0117_PF","Zika virus","Asian","KX447518","9146","-N/A-",2013-12-01,"Human","Homo sapiens","French Polynesia","genomic RNA",9146,0.831454545454545,"50-90%",2013-12-01,2013-12-01,2013-12-01,2013-12-01,2013-01-01,"Australia","Oceania"
"39","1_0015_PF","Zika virus","Asian","KX447511","10585","-N/A-",2014-01-01,"Human","Homo sapiens","French Polynesia","genomic RNA",10585,0.962272727272727,">90%",2014-01-01,2013-12-29,2013-12-29,2013-12-29,2014-01-01,"Australia","Oceania"
"40","1_0035_PF","Zika virus","Asian","KX447514","10588","-N/A-",2014-01-01,"Human","Homo sapiens","French Polynesia","genomic RNA",10588,0.962545454545455,">90%",2014-01-01,2013-12-29,2013-12-29,2013-12-29,2014-01-01,"Australia","Oceania"
"41","1_0111_PF","Zika virus","Asian","KX447516","10654","-N/A-",2014-01-01,"Human","Homo sapiens","French Polynesia","genomic RNA",10654,0.968545454545455,">90%",2014-01-01,2013-12-29,2013-12-29,2013-12-29,2014-01-01,"Australia","Oceania"
"42","1_0038_PF","Zika virus","Asian","KX447517","10654","-N/A-",2014-01-01,"Human","Homo sapiens","French Polynesia","genomic RNA",10654,0.968545454545455,">90%",2014-01-01,2013-12-29,2013-12-29,2013-12-29,2014-01-01,"Australia","Oceania"
"43","1_0016_PF","Zika virus","Asian","KX447520","9725","-N/A-",2014-01-01,"Human","Homo sapiens","French Polynesia","genomic RNA",9725,0.884090909090909,"50-90%",2014-01-01,2013-12-29,2013-12-29,2013-12-29,2014-01-01,"Australia","Oceania"
"44","FrenchPolynesia2014-060114-016","Zika virus","Asian","MG976700","10260","-N/A-",2014-01-06,"Human","Homo sapiens","French Polynesia","genomic RNA",10260,0.932727272727273,">90%",2014-01-06,2014-01-05,2013-12-29,2013-12-29,2014-01-01,"Australia","Oceania"
"45","1_0080_PF","Zika virus","Asian","KX447521","9358","-N/A-",2014-02-01,"Human","Homo sapiens","French Polynesia","genomic RNA",9358,0.850727272727273,"50-90%",2014-02-01,2014-01-26,2014-01-26,2014-01-26,2014-01-01,"Australia","Oceania"
"46","Haiti/0033/2014","Zika virus","Asian","KY415987","10808","-N/A-",2014-05-29,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2014-05-29,2014-05-25,2014-05-18,2014-05-18,2014-01-01,"South America","Rest Central America"
"47","Haiti/0029/2014","Zika virus","Asian","KY415986","10808","-N/A-",2014-05-29,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2014-05-29,2014-05-25,2014-05-18,2014-05-18,2014-01-01,"South America","Rest Central America"
"48","Haiti/0036/2014","Zika virus","Asian","KY415990","10808","-N/A-",2014-06-02,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2014-06-02,2014-06-01,2014-06-01,2014-05-18,2014-01-01,"South America","Rest Central America"
"49","Haiti/0054/2014","Zika virus","Asian","KY415988","10808","-N/A-",2014-06-05,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2014-06-05,2014-06-01,2014-06-01,2014-05-18,2014-01-01,"South America","Rest Central America"
"50","Haiti/0074/2014","Zika virus","Asian","KY415989","10808","-N/A-",2014-06-10,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2014-06-10,2014-06-08,2014-06-01,2014-05-18,2014-01-01,"South America","Rest Central America"
"51","Haiti/0097/2014","Zika virus","Asian","KY415991","10808","-N/A-",2014-06-24,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2014-06-24,2014-06-22,2014-06-15,2014-06-15,2014-01-01,"South America","Rest Central America"
"52","Zika virus/H.sapiens-tc/THA/2014/SV0127- 14","Zika virus","Asian","KU681081","10807","-N/A-",2014-07-19,"Human","Homo sapiens","Thailand","genomic RNA",10807,0.982454545454545,">90%",2014-07-19,2014-07-13,2014-07-13,2014-07-13,2014-01-01,"Asia","Southeastern Asia"
"53","Homo sapiens/Haiti/0728/2014","Zika virus","Asian","OK571913","10807","-N/A-",2014-11-25,"Human","Homo sapiens","Haiti","genomic RNA",10807,0.982454545454545,">90%",2014-11-25,2014-11-23,2014-11-16,2014-11-02,2014-01-01,"South America","Rest Central America"
"54","Haiti/1327/2014","Zika virus","Asian","MN577543","10808","-N/A-",2014-12-11,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2014-12-11,2014-12-07,2014-11-30,2014-11-30,2014-01-01,"South America","Rest Central America"
"55","Haiti/1225/2014","Zika virus","Asian","KU509998","10807","-N/A-",2014-12-12,"Human","Homo sapiens","Haiti","genomic RNA",10807,0.982454545454545,">90%",2014-12-12,2014-12-07,2014-11-30,2014-11-30,2014-01-01,"South America","Rest Central America"
"56","JMB-185","Zika virus","Asian","KU179098","10668","-N/A-",2014-12-30,"Human","Homo sapiens","Indonesia","genomic RNA",10668,0.969818181818182,">90%",2014-12-30,2014-12-28,2014-12-28,2014-12-28,2014-01-01,"Asia","Indonesia+"
"57","ZIKV/Homo sapiens/HND/R103451/2015","Zika virus","Asian","KX694534","10772","-N/A-",2015-01-06,"Human","Homo sapiens","Honduras","genomic RNA",10772,0.979272727272727,">90%",2015-01-06,2015-01-04,2014-12-28,2014-12-28,2015-01-01,"South America","Rest Central America"
"58","SV0010/15","Zika virus","Asian","KX051562","10800","-N/A-",2015-01-16,"Human","Homo sapiens","Thailand","genomic RNA",10800,0.981818181818182,">90%",2015-01-16,2015-01-11,2015-01-11,2014-12-28,2015-01-01,"Asia","Southeastern Asia"
"59","ZIKV/Homo_sapiens/Brazil/2015/ZBRA105","Zika virus","Asian","KY558989","10022","-N/A-",2015-02-23,"Human","Homo sapiens","Brazil","genomic RNA",10022,0.911090909090909,">90%",2015-02-23,2015-02-22,2015-02-22,2015-02-22,2015-01-01,"South America","Brazil"
"60","ZikaSPH2015","Zika virus","Asian","KU321639","10676","-N/A-",2015-03-01,"Human","Homo sapiens","Brazil","genomic RNA",10676,0.970545454545455,">90%",2015-03-01,2015-03-01,2015-02-22,2015-02-22,2015-01-01,"South America","Brazil"
"61","15098","Zika virus","Asian","MF073359","10807","-N/A-",2015-03-01,"Human","Homo sapiens","Brazil","genomic RNA",10807,0.982454545454545,">90%",2015-03-01,2015-03-01,2015-02-22,2015-02-22,2015-01-01,"South America","Brazil"
"62","15098","Zika virus","Asian","MK566202","10807","-N/A-",2015-03-01,"Unknown","-N/A-","Brazil","genomic RNA",10807,0.982454545454545,">90%",2015-03-01,2015-03-01,2015-02-22,2015-02-22,2015-01-01,"South America","Brazil"
"63","Bahia11","Zika virus","Asian","KX101064","10735","-N/A-",2015-04-01,"Human","Homo sapiens","Brazil","genomic RNA",10735,0.975909090909091,">90%",2015-04-01,2015-03-29,2015-03-22,2015-03-22,2015-01-01,"South America","Brazil"
"64","ZIKV/Haiti/1238/2015","Zika virus","Asian","OL450364","10808","-N/A-",2015-04-13,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2015-04-13,2015-04-12,2015-04-05,2015-03-22,2015-01-01,"South America","Rest Central America"
"65","Bahia02","Zika virus","Asian","KX101060","10331","-N/A-",2015-05-01,"Human","Homo sapiens","Brazil","genomic RNA",10331,0.939181818181818,">90%",2015-05-01,2015-04-26,2015-04-19,2015-04-19,2015-01-01,"South America","Brazil"
"66","Bahia03","Zika virus","Asian","KX101061","10564","-N/A-",2015-05-01,"Human","Homo sapiens","Brazil","genomic RNA",10564,0.960363636363636,">90%",2015-05-01,2015-04-26,2015-04-19,2015-04-19,2015-01-01,"South America","Brazil"
"67","Bahia01","Zika virus","Asian","KX101066","10632","-N/A-",2015-05-01,"Human","Homo sapiens","Brazil","genomic RNA",10632,0.966545454545455,">90%",2015-05-01,2015-04-26,2015-04-19,2015-04-19,2015-01-01,"South America","Brazil"
"68","Bahia12","Zika virus","Asian","KX101067","10566","-N/A-",2015-05-01,"Human","Homo sapiens","Brazil","genomic RNA",10566,0.960545454545455,">90%",2015-05-01,2015-04-26,2015-04-19,2015-04-19,2015-01-01,"South America","Brazil"
"69","ZIKV/Homo_sapiens/Brazil/2015/ZBRC301","Zika virus","Asian","KY558995","10022","-N/A-",2015-05-13,"Human","Homo sapiens","Brazil","genomic RNA",10022,0.911090909090909,">90%",2015-05-13,2015-05-10,2015-05-03,2015-04-19,2015-01-01,"South America","Brazil"
"70","ZIKV/Homo_sapiens/Brazil/2015/ZBRC302","Zika virus","Asian","KY558996","10022","-N/A-",2015-05-13,"Human","Homo sapiens","Brazil","genomic RNA",10022,0.911090909090909,">90%",2015-05-13,2015-05-10,2015-05-03,2015-04-19,2015-01-01,"South America","Brazil"
"71","PE243","Zika virus","Asian","MF352141","10803","-N/A-",2015-05-13,"Human","Homo sapiens","Brazil","genomic RNA",10803,0.982090909090909,">90%",2015-05-13,2015-05-10,2015-05-03,2015-04-19,2015-01-01,"South America","Brazil"
"72","ZIKV/Homo_sapiens/Brazil/2015/ZBRC303","Zika virus","Asian","KY558997","9374","-N/A-",2015-05-14,"Human","Homo sapiens","Brazil","genomic RNA",9374,0.852181818181818,"50-90%",2015-05-14,2015-05-10,2015-05-03,2015-04-19,2015-01-01,"South America","Brazil"
"73","Bahia04","Zika virus","Asian","KX101062","10323","-N/A-",2015-06-01,"Human","Homo sapiens","Brazil","genomic RNA",10323,0.938454545454545,">90%",2015-06-01,2015-05-31,2015-05-31,2015-05-17,2015-01-01,"South America","Brazil"
"74","15261","Zika virus","Asian","MF073358","10807","-N/A-",2015-06-01,"Human","Homo sapiens","Brazil","genomic RNA",10807,0.982454545454545,">90%",2015-06-01,2015-05-31,2015-05-31,2015-05-17,2015-01-01,"South America","Brazil"
"75","ZIKV/Homo_sapiens/Brazil/2015/ZBRC313","Zika virus","Asian","KY558998","9673","-N/A-",2015-06-15,"Human","Homo sapiens","Brazil","genomic RNA",9673,0.879363636363636,"50-90%",2015-06-15,2015-06-14,2015-06-14,2015-06-14,2015-01-01,"South America","Brazil"
"76","SSABR1","Zika virus","Asian","KU707826","10648","-N/A-",2015-07-01,"Human","Homo sapiens","Brazil","genomic RNA",10648,0.968,">90%",2015-07-01,2015-06-28,2015-06-28,2015-06-14,2015-01-01,"South America","Brazil"
"77","Bahia07","Zika virus","Asian","KU940228","10676","-N/A-",2015-07-01,"Human","Homo sapiens","Brazil","genomic RNA",10676,0.970545454545455,">90%",2015-07-01,2015-06-28,2015-06-28,2015-06-14,2015-01-01,"South America","Brazil"
"78","Bahia08","Zika virus","Asian","KU940227","10551","-N/A-",2015-07-15,"Human","Homo sapiens","Brazil","genomic RNA",10551,0.959181818181818,">90%",2015-07-15,2015-07-12,2015-07-12,2015-07-12,2015-01-01,"South America","Brazil"
"79","HS-2015-BA-01","Zika virus","Asian","KX520666","10538","-N/A-",2015-08-01,"Human","Homo sapiens; female","Brazil","genomic RNA",10538,0.958,">90%",2015-08-01,2015-07-26,2015-07-26,2015-07-12,2015-01-01,"South America","Brazil"
"80","Bahia09","Zika virus","Asian","KU940224","10525","-N/A-",2015-08-01,"Human","Homo sapiens","Brazil","genomic RNA",10525,0.956818181818182,">90%",2015-08-01,2015-07-26,2015-07-26,2015-07-12,2015-01-01,"South America","Brazil"
"81","ZIKV/Homo_sapiens/Brazil/2015/ZBRC321","Zika virus","Asian","KY559000","9673","-N/A-",2015-08-09,"Human","Homo sapiens","Brazil","genomic RNA",9673,0.879363636363636,"50-90%",2015-08-09,2015-08-09,2015-08-09,2015-08-09,2015-01-01,"South America","Brazil"
"82","ZIKV/Homo_sapiens/Brazil/2015/ZBRD103","Zika virus","Asian","KY559001","10310","-N/A-",2015-08-20,"Human","Homo sapiens","Brazil","genomic RNA",10310,0.937272727272727,">90%",2015-08-20,2015-08-16,2015-08-09,2015-08-09,2015-01-01,"South America","Brazil"
"83","15-1144","Zika virus",NA,"MT377503","10607","-N/A-",2015-08-27,"Human","Homo sapiens","Thailand","genomic RNA",10607,0.964272727272727,">90%",2015-08-27,2015-08-23,2015-08-23,2015-08-09,2015-01-01,"Asia","Southeastern Asia"
"84","ZIKV/Homo_sapiens/Brazil/2015/ZBRD116","Zika virus","Asian","KY559003","10310","-N/A-",2015-08-28,"Human","Homo sapiens","Brazil","genomic RNA",10310,0.937272727272727,">90%",2015-08-28,2015-08-23,2015-08-23,2015-08-09,2015-01-01,"South America","Brazil"
"85","ZIKV/Homo_sapiens/Brazil/2015/ZBRD107","Zika virus","Asian","KY559002","8791","-N/A-",2015-09-09,"Human","Homo sapiens","Brazil","genomic RNA",8791,0.799181818181818,"50-90%",2015-09-09,2015-09-06,2015-09-06,2015-09-06,2015-01-01,"South America","Brazil"
"86","Z1106033","Zika virus","Asian","KU312312","10374","-N/A-",2015-10-02,"Human","Homo sapiens","Suriname","genomic RNA",10374,0.943090909090909,">90%",2015-10-02,2015-09-27,2015-09-20,2015-09-06,2015-01-01,"South America","Rest South America"
"87","ZIKV/COL/FCC00093/2015","Zika virus","Asian","KX548902","10615","-N/A-",2015-10-07,"Human","Homo sapiens","Colombia","genomic RNA",10615,0.965,">90%",2015-10-07,2015-10-04,2015-10-04,2015-10-04,2015-01-01,"South America","Rest South America"
"88","ZIKV/Haiti/0478/2015","Zika virus","Asian","OL450365","10808","-N/A-",2015-10-08,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2015-10-08,2015-10-04,2015-10-04,2015-10-04,2015-01-01,"South America","Rest Central America"
"89","MEX_ENCB165","Zika virus","Asian","KY631493","10683","-N/A-",2015-10-15,"Human","Homo sapiens","Mexico","genomic RNA",10683,0.971181818181818,">90%",2015-10-15,2015-10-11,2015-10-04,2015-10-04,2015-01-01,"South America","Mexico"
"90","ENCB165P4","Zika virus","Asian","KY631494","10754","-N/A-",2015-10-15,"Human","Homo sapiens","Mexico","genomic RNA",10754,0.977636363636364,">90%",2015-10-15,2015-10-11,2015-10-04,2015-10-04,2015-01-01,"South America","Mexico"
"91","ZIKV/Haiti/1332/2015","Zika virus","Asian","OL450366","10808","-N/A-",2015-10-20,"Human","Homo sapiens","Haiti","genomic RNA",10808,0.982545454545454,">90%",2015-10-20,2015-10-18,2015-10-18,2015-10-04,2015-01-01,"South America","Rest Central America"
"92","8375","Zika virus","Asian","KU501217","10272","-N/A-",2015-11-01,"Human","Homo sapiens","Guatemala","genomic RNA",10272,0.933818181818182,">90%",2015-11-01,2015-11-01,2015-11-01,2015-11-01,2015-01-01,"South America","Rest Central America"
"93","MEX_I_7","Zika virus","Asian","KX247632","10777","-N/A-",2015-11-01,"Mosquito","Aedes aegypti","Mexico","genomic RNA",10777,0.979727272727273,">90%",2015-11-01,2015-11-01,2015-11-01,2015-11-01,2015-01-01,"South America","Mexico"
"94","ZIKV/Homo_sapiens/CPV/2015/CV487","Zika virus","Asian","MK241416","10617","-N/A-",2015-11-27,"Human","Homo sapiens","Cape Verde","genomic RNA",10617,0.965181818181818,">90%",2015-11-27,2015-11-22,2015-11-15,2015-11-01,2015-01-01,"Africa","Western Africa"
"95","Brazil-ZKV2015","Zika virus","Asian","KU497555","10793","-N/A-",2015-11-30,"Human","Homo sapiens","Brazil","genomic RNA",10793,0.981181818181818,">90%",2015-11-30,2015-11-29,2015-11-29,2015-11-29,2015-01-01,"South America","Brazil"
"96","PRVABC59","Zika virus","Asian","KU501215","10675","-N/A-",2015-12-01,"Human","Homo sapiens","Puerto Rico","genomic RNA",10675,0.970454545454545,">90%",2015-12-01,2015-11-29,2015-11-29,2015-11-29,2015-01-01,"South America","Rest Central America"
"97","103344","Zika virus","Asian","KU501216","10272","-N/A-",2015-12-01,"Human","Homo sapiens","Guatemala","genomic RNA",10272,0.933818181818182,">90%",2015-12-01,2015-11-29,2015-11-29,2015-11-29,2015-01-01,"South America","Rest Central America"
"98","MRS_OPY_Martinique_PaRi_2015","Zika virus","Asian","KU647676","10617","-N/A-",2015-12-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",10617,0.965181818181818,">90%",2015-12-01,2015-11-29,2015-11-29,2015-11-29,2015-01-01,NA,NA
"99","17271","Zika virus","Asian","KU758877","10364","-N/A-",2015-12-01,"Human","Homo sapiens","French Guiana","genomic RNA",10364,0.942181818181818,">90%",2015-12-01,2015-11-29,2015-11-29,2015-11-29,2015-01-01,NA,NA
"100","PRVABC-59","Zika virus","Asian","KX377337","10807","-N/A-",2015-12-01,"Human","Homo sapiens","Puerto Rico","genomic RNA",10807,0.982454545454545,">90%",2015-12-01,2015-11-29,2015-11-29,2015-11-29,2015-01-01,"South America","Rest Central America"
"101","ZIKV/Homo sapiens/PRI/PRVABC59/2015","Zika virus","Asian","KX601168","10679","-N/A-",2015-12-01,"Human","Homo sapiens","Puerto Rico","genomic RNA",10679,0.970818181818182,">90%",2015-12-01,2015-11-29,2015-11-29,2015-11-29,2015-01-01,"South America","Rest Central America"
